drug_id,protein_id,protbert_id
DB00001,P00734,THRB_HUMAN
DB00002,P00533,EGFR_HUMAN
DB00002,O75015,FCG3B_HUMAN
DB00002,P02745,C1QA_HUMAN
DB00002,P02746,C1QB_HUMAN
DB00002,P02747,C1QC_HUMAN
DB00002,P08637,FCG3A_HUMAN
DB00002,P12314,FCGR1_HUMAN
DB00002,P12318,FCG2A_HUMAN
DB00004,P01589,IL2RA_HUMAN
DB00004,P14784,IL2RB_HUMAN
DB00004,P31785,IL2RG_HUMAN
DB00005,P01375,TNFA_HUMAN
DB00005,P01374,TNFB_HUMAN
DB00005,P12314,FCGR1_HUMAN
DB00005,P12318,FCG2A_HUMAN
DB00005,P31994,FCG2B_HUMAN
DB00005,P31995,FCG2C_HUMAN
DB00005,P08637,FCG3A_HUMAN
DB00005,O75015,FCG3B_HUMAN
DB00005,P02745,C1QA_HUMAN
DB00006,P00734,THRB_HUMAN
DB00007,P30968,GNRHR_HUMAN
DB00008,P48551,INAR2_HUMAN
DB00008,P17181,INAR1_HUMAN
DB00009,P00747,PLMN_HUMAN
DB00009,P02671,FIBA_HUMAN
DB00009,P02679,FIBG_HUMAN
DB00009,P05121,PAI1_HUMAN
DB00010,Q02643,GHRHR_HUMAN
DB00011,P17181,INAR1_HUMAN
DB00011,P48551,INAR2_HUMAN
DB00012,P19235,EPOR_HUMAN
DB00013,P00747,PLMN_HUMAN
DB00013,Q03405,UPAR_HUMAN
DB00013,P05121,PAI1_HUMAN
DB00013,P05120,PAI2_HUMAN
DB00013,P05154,IPSP_HUMAN
DB00013,P98164,LRP2_HUMAN
DB00013,Q9Y5Y6,ST14_HUMAN
DB00013,P14543,NID1_HUMAN
DB00014,P22888,LSHR_HUMAN
DB00014,P30968,GNRHR_HUMAN
DB00015,P00747,PLMN_HUMAN
DB00015,P02671,FIBA_HUMAN
DB00015,P05121,PAI1_HUMAN
DB00016,P19235,EPOR_HUMAN
DB00017,P30988,CALCR_HUMAN
DB00018,P17181,INAR1_HUMAN
DB00018,P48551,INAR2_HUMAN
DB00019,Q99062,CSF3R_HUMAN
DB00020,P15509,CSF2R_HUMAN
DB00020,P26951,IL3RA_HUMAN
DB00020,P32927,IL3RB_HUMAN
DB00020,P34741,SDC2_HUMAN
DB00020,P13727,PRG2_HUMAN
DB00022,P17181,INAR1_HUMAN
DB00022,P48551,INAR2_HUMAN
DB00024,P16473,TSHR_HUMAN
DB00025,P00742,FA10_HUMAN
DB00025,P00740,FA9_HUMAN
DB00025,P04275,VWF_HUMAN
DB00025,O14832,PAHX_HUMAN
DB00025,P07307,ASGR2_HUMAN
DB00025,P11021,BIP_HUMAN
DB00025,P27797,CALR_HUMAN
DB00025,P27824,CALX_HUMAN
DB00025,P49257,LMAN1_HUMAN
DB00025,Q07954,LRP1_HUMAN
DB00025,Q8NI22,MCFD2_HUMAN
DB00026,P14778,IL1R1_HUMAN
DB00028,P12314,FCGR1_HUMAN
DB00028,Q92637,FCGRB_HUMAN
DB00028,P12318,FCG2A_HUMAN
DB00028,P31994,FCG2B_HUMAN
DB00028,P31995,FCG2C_HUMAN
DB00028,P08637,FCG3A_HUMAN
DB00028,O75015,FCG3B_HUMAN
DB00028,P01024,CO3_HUMAN
DB00028,P0C0L4,CO4A_HUMAN
DB00028,P0C0L5,CO4B_HUMAN
DB00028,P01031,CO5_HUMAN
DB00029,P00747,PLMN_HUMAN
DB00029,P02671,FIBA_HUMAN
DB00029,P05121,PAI1_HUMAN
DB00030,P06213,INSR_HUMAN
DB00030,P08069,IGF1R_HUMAN
DB00030,P16870,CBPE_HUMAN
